time	ymintpow	YQ_i_AKNP_chan_11	YQ_i_AKNP_chan_12	YQ_i_AKNP_chan_13	YQ_W_AKNP_11	YQ_AKPM_WT_11	offset_svrk	offset_akpm
180600.296875	99.77100372314453	2616087296.0	2980837120.0	1451039232.0	98.7077407836914	92.79142761230469	4.942569732666016	-28.522145748138428
181200.296875	99.7709732055664	2615444992.0	2980831744.0	1451764992.0	98.70269775390625	92.78527069091797	4.972415924072266	-28.49736511707306
181800.296875	99.77100372314453	2614811136.0	2980805120.0	1452419520.0	98.69712829589844	92.78053283691406	4.997169494628906	-28.473681211471558
182400.296875	99.77110290527344	2614267648.0	2980769792.0	1452945920.0	98.6920166015625	92.77528381347656	5.029867649078369	-28.45381200313568
183000.296875	99.77088928222656	2613597184.0	2980769280.0	1453718720.0	98.68690490722656	92.77049255371094	5.062589645385742	-28.427746891975403
183600.296875	99.77105712890625	2612935680.0	2980795904.0	1454546176.0	98.6824722290039	92.76568603515625	5.0837178230285645	-28.401154279708862
184200.296875	99.771240234375	2612438784.0	2980751360.0	1454988352.0	98.67742919921875	92.76152801513672	5.1145172119140625	-28.38345170021057
184800.296875	99.77099609375	2611828736.0	2980775936.0	1455756224.0	98.67338562011719	92.75677490234375	5.1355133056640625	-28.35889458656311
185400.296875	99.77095031738281	2611376128.0	2980751360.0	1456201088.0	98.669189453125	92.75298309326172	5.161609649658203	-28.342214226722717
186000.296875	99.77116394042969	2610828544.0	2980721152.0	1456737344.0	98.66410827636719	92.74903106689453	5.189310550689697	-28.322073817253113
186600.296875	99.77108764648438	2610228992.0	2980684032.0	1457308992.0	98.65838623046875	92.74427032470703	5.212012767791748	-28.300178050994873
187200.296875	99.77103424072266	2609703936.0	2980633600.0	1457767296.0	98.65296173095703	92.73887634277344	5.2372965812683105	-28.28156352043152
187800.296875	99.77114868164062	2609178624.0	2980620288.0	1458326848.0	98.64850616455078	92.73377990722656	5.258208274841309	-28.26164960861206
188400.296875	99.77127075195312	2608734208.0	2980606208.0	1458786048.0	98.64460754394531	92.72959899902344	5.277467727661133	-28.244981169700623
189000.296875	99.77104187011719	2608318208.0	2980591360.0	1459217472.0	98.6409683227539	92.72592163085938	5.2996344566345215	-28.22936475276947
189600.296875	99.77104187011719	2607869696.0	2980598528.0	1459742080.0	98.63761901855469	92.7225112915039	5.318339824676514	-28.21176052093506
190200.296875	99.77100372314453	2607444736.0	2980568064.0	1460138560.0	98.63348388671875	92.71935272216797	5.338192939758301	-28.19635570049286
190800.296875	99.77108764648438	2607051264.0	2980581632.0	1460615232.0	98.63069152832031	92.71546936035156	5.358490467071533	-28.180688619613647
191400.296875	99.77104187011719	2606617600.0	2980564480.0	1461055168.0	98.6268081665039	92.71285247802734	5.372990608215332	-28.164497017860413
192000.296875	99.77103424072266	2606294528.0	2980547328.0	1461368768.0	98.623779296875	92.70919799804688	5.388425827026367	-28.152620792388916
192600.296875	99.77096557617188	2606011648.0	2980591616.0	1461806016.0	98.6226806640625	92.70635223388672	5.403785228729248	-28.140172362327576
193200.296875	99.77114868164062	2605689856.0	2980592640.0	1462165312.0	98.6201171875	92.705322265625	5.421699047088623	-28.127717971801758
193800.296875	99.77098083496094	2605338880.0	2980609024.0	1462602560.0	98.61775207519531	92.7029037475586	5.4359893798828125	-28.113573789596558
194400.296875	99.77108764648438	2605011200.0	2980572672.0	1462865984.0	98.61415100097656	92.70069122314453	5.447147369384766	-28.102201223373413
195000.296875	99.77104187011719	2604792320.0	2980600320.0	1463180480.0	98.61308288574219	92.69729614257812	5.460080146789551	-28.09283435344696
195600.296875	99.77092742919922	2604531456.0	2980606208.0	1463481984.0	98.61109924316406	92.69629669189453	5.469465255737305	-28.082597255706787
196200.296875	99.77122497558594	2604324608.0	2980597248.0	1463684928.0	98.60917663574219	92.69442749023438	5.482596397399902	-28.074941039085388
196800.296875	99.77101135253906	2604062208.0	2980607488.0	1463997184.0	98.60726928710938	92.692626953125	5.492010593414307	-28.06452214717865
197400.296875	99.77100372314453	2603859200.0	2980602368.0	1464204608.0	98.60545349121094	92.69082641601562	5.500766754150391	-28.056904673576355
198000.296875	99.77101135253906	2603669248.0	2980598272.0	1464397696.0	98.603759765625	92.68912506103516	5.508607387542725	-28.049758076667786
198600.296875	99.7711181640625	2603515392.0	2980611072.0	1464593920.0	98.60276794433594	92.68751525878906	5.514594078063965	-28.043469786643982
199200.296875	99.77115631103516	2603384576.0	2980605952.0	1464716672.0	98.60150146484375	92.68660736083984	5.521739482879639	-28.038668632507324
199800.296875	99.77088928222656	2603235328.0	2980607488.0	1464875264.0	98.60023498535156	92.68540954589844	5.5281596183776855	-28.032946586608887
200400.296875	99.77088928222656	2603105024.0	2980613888.0	1465023552.0	98.59921264648438	92.68421936035156	5.5316996574401855	-28.027838468551636
